2024/04/01 09:51:12 [error] 180#180: *6 open() "/var/www/html/.git/config" failed (2: No such file or directory), client: 13.52.100.196, server: localhost-nginx-proxy-manager, request: "GET /.git/config HTTP/1.1", host: "54.74.199.28"
2024/04/01 10:00:00 [warn] 180#180: 512 worker_connections are not enough, reusing connections
2024/04/01 10:00:00 [alert] 180#180: 512 worker_connections are not enough
2024/04/01 10:00:00 [error] 180#180: *511 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost-nginx-proxy-manager, request: "GET /favicon.ico HTTP/1.1", upstream: "http://127.0.0.1:80/favicon.ico", host: "54.74.199.28", referrer: "http://54.74.199.28/"
2024/04/01 10:07:43 [warn] 180#180: 512 worker_connections are not enough, reusing connections
2024/04/01 10:07:43 [alert] 180#180: 512 worker_connections are not enough
2024/04/01 10:07:43 [error] 180#180: *1081 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost-nginx-proxy-manager, request: "GET /favicon.ico HTTP/1.1", upstream: "http://127.0.0.1:80/favicon.ico", host: "water-tracker.com", referrer: "http://water-tracker.com/"
2024/04/01 10:20:16 [error] 208#208: *1168 open() "/var/www/html/wp-content/plugins/hellopress/wp_filemanager.php" failed (2: No such file or directory), client: 89.187.164.168, server: localhost-nginx-proxy-manager, request: "GET /wp-content/plugins/hellopress/wp_filemanager.php HTTP/1.1", host: "water-tracker.com"
2024/04/01 10:20:16 [error] 208#208: *1168 open() "/var/www/html/wp-includes/Requests/about.php" failed (2: No such file or directory), client: 89.187.164.168, server: localhost-nginx-proxy-manager, request: "GET /wp-includes/Requests/about.php HTTP/1.1", host: "water-tracker.com"
2024/04/01 10:20:17 [error] 208#208: *1168 open() "/var/www/html/wp-includes/style-engine/about.php" failed (2: No such file or directory), client: 89.187.164.168, server: localhost-nginx-proxy-manager, request: "GET /wp-includes/style-engine/about.php HTTP/1.1", host: "water-tracker.com"
2024/04/01 10:20:17 [error] 208#208: *1168 open() "/var/www/html/wp-includes/rest-api/about.php" failed (2: No such file or directory), client: 89.187.164.168, server: localhost-nginx-proxy-manager, request: "GET /wp-includes/rest-api/about.php HTTP/1.1", host: "water-tracker.com"
2024/04/01 10:20:17 [error] 208#208: *1168 open() "/var/www/html/wp-includes/SimplePie/about.php" failed (2: No such file or directory), client: 89.187.164.168, server: localhost-nginx-proxy-manager, request: "GET /wp-includes/SimplePie/about.php HTTP/1.1", host: "water-tracker.com"
2024/04/01 10:20:17 [error] 208#208: *1168 open() "/var/www/html/wp-content/banners/about.php" failed (2: No such file or directory), client: 89.187.164.168, server: localhost-nginx-proxy-manager, request: "GET /wp-content/banners/about.php HTTP/1.1", host: "water-tracker.com"
2024/04/01 10:20:17 [error] 208#208: *1168 open() "/var/www/html/wp-content/about.php" failed (2: No such file or directory), client: 89.187.164.168, server: localhost-nginx-proxy-manager, request: "GET /wp-content/about.php HTTP/1.1", host: "water-tracker.com"
2024/04/01 10:20:17 [error] 208#208: *1168 open() "/var/www/html/.well-known/about.php" failed (2: No such file or directory), client: 89.187.164.168, server: localhost-nginx-proxy-manager, request: "GET /.well-known/about.php HTTP/1.1", host: "water-tracker.com"
2024/04/01 10:20:17 [error] 208#208: *1168 open() "/var/www/html/wp-includes/Text/about.php" failed (2: No such file or directory), client: 89.187.164.168, server: localhost-nginx-proxy-manager, request: "GET /wp-includes/Text/about.php HTTP/1.1", host: "water-tracker.com"
2024/04/01 10:20:17 [error] 208#208: *1168 open() "/var/www/html/wp-includes/ID3/about.php" failed (2: No such file or directory), client: 89.187.164.168, server: localhost-nginx-proxy-manager, request: "GET /wp-includes/ID3/about.php HTTP/1.1", host: "water-tracker.com"
